iter	Logloss
0	0.6891699622
1	0.6853569475
2	0.6815456063
3	0.6775579049
4	0.6735044837
5	0.6698686592
6	0.6662602768
7	0.6629181192
8	0.6592998072
9	0.6555614954
10	0.6525409648
11	0.6490998664
12	0.6459978371
13	0.6428595144
14	0.639833918
15	0.6368756703
16	0.6342386782
17	0.6315116736
18	0.6288173868
19	0.6259774736
20	0.6232852509
21	0.6203934481
22	0.6178921923
23	0.615458429
24	0.6127101789
25	0.6106347804
26	0.6081434863
27	0.6058016809
28	0.6032951761
29	0.6010510622
30	0.5987851474
31	0.5967201367
32	0.5944638849
33	0.5922593099
34	0.5900522846
35	0.5881819527
36	0.5861416497
37	0.5840389148
38	0.5823842734
39	0.5807109399
40	0.5787944397
41	0.5769770997
42	0.5752951983
43	0.5736658898
44	0.5718202339
45	0.5702331374
46	0.5686341752
47	0.5671163303
48	0.5655275146
49	0.5642925141
50	0.5628846128
51	0.5614027066
52	0.5599222946
53	0.5584825736
54	0.5570949704
55	0.5559116737
56	0.5547005804
57	0.5533806059
58	0.5522051482
59	0.5510705647
60	0.5499448512
61	0.5489345193
62	0.5477965645
63	0.5465812077
64	0.5454384378
65	0.5442125142
66	0.5432821556
67	0.5421913559
68	0.5411351393
69	0.5400198434
70	0.5388931285
71	0.5378184047
72	0.5368589896
73	0.5360208325
74	0.5350613855
75	0.5342221921
76	0.5331878189
77	0.5322247303
78	0.5312746576
79	0.530328971
80	0.5294686291
81	0.5285941209
82	0.5277637565
83	0.5268978966
84	0.526016589
85	0.525241121
86	0.5244301775
87	0.5236114059
88	0.5228382887
89	0.5220394518
90	0.5213784551
91	0.5207244093
92	0.5201772073
93	0.5194809128
94	0.5188074696
95	0.5181645699
96	0.5175754914
97	0.5169434951
98	0.5162797185
99	0.5155044507
100	0.5149060416
101	0.5145500749
102	0.5139621001
103	0.5133825385
104	0.5128334585
105	0.5121867507
106	0.5117599608
107	0.5111524939
108	0.5105474187
109	0.5100243451
110	0.5094904756
111	0.5088972247
112	0.50843207
113	0.5079599051
114	0.5074381596
115	0.5068021324
116	0.5063107237
117	0.505831209
118	0.5054057473
119	0.5047326234
120	0.5042634124
121	0.5037827816
122	0.5032018624
123	0.5026986792
124	0.5024255678
125	0.5020441019
126	0.5016587418
127	0.5012848215
128	0.5007607494
129	0.5004477184
130	0.500084817
131	0.4996946069
132	0.4993266679
133	0.4989174657
134	0.4986251004
135	0.4981032167
136	0.4977255936
137	0.4973303303
138	0.4970209443
139	0.4965655681
140	0.4961788233
141	0.495784577
142	0.4954270195
143	0.495018876
144	0.4946791038
145	0.494372043
146	0.4940948475
147	0.4936613706
